id,owner_clean,cleaning_fee,manegement_fee_pct,contract_signed_date,listing_date,first_booking_date,,,,,,,,,,,,,
10654EM,10654 El Monte,,20%Net,2025/2/11,,,,,,,,,,,,,,,
109I,109 Irvine,,,,,,,,,,,,,,,,,,
10961NT,10961 North Tustin,,20%Net,2025/3/27,,,,,,,,,,,,,,,
1101BMP,1101 B Monterey Park,,10%Gross,2024/10/22,,,,,,,,,,,,,,,
1101CMP,1101 C Monterey Park,,10%Gross,2024/10/22,,,,,,,,,,,,,,,
11701RC,11701 Rancho,,,,,,,,,,,,,,,,,,
1179MP,1179 Monterey Park,,20%Net,2025/3/4,,,,,,,,,,,,,,,
1201G,1201 Glendora,,10%Gross,2019/8/8,,,,,,,,,,,,,,,
120312G,1203 1/2 Glendora,,10%Gross,2019/8/8,,,,,,,,,,,,,,,
1203G,1203 Glendora,,10%Gross,2019/8/8,,,,,,,,,,,,,,,
1209LP,1209 La Puente,,15%Gross,2024/5/23,,,,,,,,,,,,,,,
135G,135 Glendora,,10%Gross,2019/8/8,,,,,,,,,,,,,,,
14349AVN,"14349 A, Van Nuys",,20%Net,,,,,,,,,,,,,,,,
14349BVN,"14349 B, Van Nuys",,20%Net,,,,,,,,,,,,,,,,
1446C,1446 Turning Bend Cl,,,,,,,,,,,,,,,,,,
1477O,1477 Ontario,,20%Net,2025/3/6,,,,,,,,,,,,,,,
148AI,"148 A, Irvine",,15%Gross,2022/10/12,,,,,,,,,,,,,,,
148BI,"148 B, Irvine",,15%Gross,2022/10/12,,,,,,,,,,,,,,,
148CI,"148 C, Irvine",,15%Gross,2022/10/12,,,,,,,,,,,,,,,
1519LP,1519 La Puente,,20%Net,2024/8/20,,,,,,,,,,,,,,,
15535CH,15535 Chino Hills,,,,,,,,,,,,,,,,,,
15803C,15803 Chino,,20%Net,2025/4/28,,,,,,,,,,,,,,,
15921LP,15921 La Puente,,20%Net,2025/4/17,,,,,,,,,,,,,,,
16020HH,16020 Hacienda,,20%Net,2025/5/23,,,,,,,,,,,,,,,
16061LA,1606 #1 Los Anageles,,,,,,,,,,,,,,,,,,
16062LA,1606 #2 Los Angeles,,,,,,,,,,,,,,,,,,
16063LA,1606 #3 Los Angeles,,,,,,,,,,,,,,,,,,
16064LA,1606 #4 Los Angeles,,,,,,,,,,,,,,,,,,
1610A,1610 Alhambra,,20%Net,2025/4/30,,,,,,,,,,,,,,,
1618A,1618 Alhambra,,20%Net,2025/5/4,,,,,,,,,,,,,,,
1711WC,1711 West Covina,,20%Net,2025/5/1,,,,,,,,,,,,,,,
1733LA,1733 Los Angeles,,20%Net,2025/3/5,,,,,,,,,,,,,,,
1734HH,1734 Hacienda Height,,20%Net,2025/5/8,,,,,,,,,,,,,,,
17900RH,17900 Rowland Height,,15%Gross,,,,,,,,,,,,,,,,
18087LH,18087 Lake Hughes,,20%Net,2025/4/21,,,,,,,,,,,,,,,
1818MP,1818 Grandridge,,20%Net,2025/3/14,,,,,,,,,,,,,,,
189U,189 Upland,,20%Net,2025/3/14,,,,,,,,,,,,,,,
20240C,"20240 Apt D, Covina",,,,,,,,,,,,,,,,,,
21433DB,21433 Bella Pine,,,,,,,,,,,,,,,,,,
22816DB,22816 Hilton Head DB,,,,,,,,,,,,,,,,,,
24123DB,24123 Diamond Bar,,,,,,,,,,,,,,,,,,
25CDC,25 Coto De Caza,,20%Net,2025/1/20,,,,,,,,,,,,,,,
25I,25 Irvine,,20%Net,2024/7/13,,,,,,,,,,,,,,,
258W,258 Walnut,,20%Net,2025/4/16,,,,,,,,,,,,,,,
2720O,2720 Ontario,,,,,,,,,,,,,,,,,,
303D,303 Duarte,,20%Net,2025/3/5,,,,,,,,,,,,,,,
307A,307 Alhambra,,10%Gross,2025/3/3,,,,,,,,,,,,,,,
309P,309 Pomona,,20%Net,2025/4/22,,,,,,,,,,,,,,,
31075T,31075 Jedediah,,,,,,,,,,,,,,,,,,
311W,311 Walnut,,,,,,,,,,,,,,,,,,
32305WV,32305 BlueRock WestL,,,,,,,,,,,,,,,,,,
325AWC,325 A West Covina,,20%Net,2025/3/25,,,,,,,,,,,,,,,
325BWC,325 B West Covina,,20%Net,2025/3/25,,,,,,,,,,,,,,,
32763PM,32763 Palomar Mounta,,,,,,,,,,,,,,,,,,
333M,333 Monrovia,,20%Net,2025/1/7,,,,,,,,,,,,,,,
3673P,3673 Pomona,,,,,,,,,,,,,,,,,,
3726EM,3726 El Monte,,,,,,,,,,,,,,,,,,
38450A,38450 Garner Rd Anza,,,,,,,,,,,,,,,,,,
38650A,38650 Anza,,,,,,,,,,,,,,,,,,
3938TO,3938 Thousand Oaks,,,,,,,,,,,,,,,,,,
406131O,4061 #31 Ontario,,15%Gross,2025/3/25,,,,,,,,,,,,,,,
406139O,4061 #39 Ontario,,15%Gross,2025/3/25,,,,,,,,,,,,,,,
409623O,4096 #23 Ontario,,15%Gross,2024/1/18,,,,,,,,,,,,,,,
4522RP,4522 Rohnert Park,,,,,,,,,,,,,,,,,,
4564YL,4564 ViaDeLa Plz YL,,,,,,,,,,,,,,,,,,
46P,46 Pasadena,,,,,,,,,,,,,,,,,,
481P,481 Pasadena,,15%Gross,2024/6/18,,,,,,,,,,,,,,,
506SG,506 San Gabriel,,20%Net,2024/11/26,,,,,,,,,,,,,,,
511G,511 Glendora,,,,,,,,,,,,,,,,,,
5126TO,5126 Via ElMolino TO,,,,,,,,,,,,,,,,,,
5609R,5609 Riverside,,20%Net,2024/11/14,,,,,,,,,,,,,,,
